,Open,High,Low,Close,Volume,Dividends,Stock Splits,rolling_mean_5,rolling_std_5,rolling_mean_10,rolling_std_10,rolling_mean_20,rolling_std_20
2014-07-09,20.982961117763466,21.095085956756225,20.8334596550793,20.971967697143555,145744000,0.0,0.0,20.851922607421876,0.22914221767861523,20.532472610473633,0.4178749930967182,20.355049896240235,0.3730960385197124
2014-07-10,20.61359975289591,21.00714029885693,20.560833359318064,20.8950138092041,158744000,0.0,0.0,20.920517349243163,0.15686440333535276,20.635365295410157,0.3579374290401467,20.368021392822264,0.38759100414426084
2014-07-11,20.965367035789328,21.081889884629085,20.85543956671634,20.934587478637695,136072000,0.0,0.0,20.972842407226562,0.07689378503831229,20.730342674255372,0.28464057782929253,20.40023021697998,0.40707781049341996
2014-07-14,21.07529205247255,21.301742344034803,21.029122722117517,21.205005645751953,171240000,0.0,0.0,20.99394874572754,0.12174507172832175,20.828617286682128,0.2581471972058114,20.457062339782716,0.43658148666287266
2014-07-15,21.2819556720833,21.29294741101923,20.892811547307076,20.95656967163086,181911600,0.0,0.0,20.992628860473634,0.12219712346765903,20.881162452697755,0.21871238676867125,20.491359519958497,0.4479595643908214
2014-07-16,21.319339271649355,21.34791981733474,20.829061891584374,20.83785629272461,213585200,0.0,0.0,20.965806579589845,0.14111966396777498,20.90886459350586,0.18918173499957186,20.521040058135988,0.45038367605159624
2014-07-17,20.892808514761448,20.947772233542725,20.35196572323683,20.466289520263672,229192000,0.0,0.0,20.88006172180176,0.26805028038923684,20.90028953552246,0.20814557402670256,20.531042957305907,0.4466325898773407
2014-07-18,20.58281476414464,20.829051159759985,20.45090049236826,20.760896682739258,199952000,0.0,0.0,20.84532356262207,0.27046134711232905,20.909082984924318,0.19913719925982826,20.559294033050538,0.4421636728907358
2014-07-21,20.884016268186002,20.886215286824292,20.604801286074117,20.653169631958008,156316000,0.0,0.0,20.734956359863283,0.18657752815402381,20.86445255279541,0.2017216965824359,20.592602062225343,0.4213874069006553
2014-07-22,20.815864949004713,20.862034283264407,20.6927467243122,20.82465934753418,220788000,0.0,0.0,20.708574295043945,0.15386584690250135,20.850601577758788,0.19892623804977105,20.635363864898682,0.3975389393982118
2014-07-23,20.97855829502162,21.519401254460128,20.923594559175918,21.36770248413086,371672000,0.0,0.0,20.814543533325196,0.33774529337477277,20.89017505645752,0.2567203069349207,20.711323833465578,0.38419284028097234
2014-07-24,21.334724272428204,21.396283389251746,21.19841360134742,21.3325252532959,182916000,0.0,0.0,20.987790679931642,0.33661508743712776,20.9339262008667,0.29243356333410603,20.784645748138427,0.35306346529343074
2014-07-25,21.292947497184716,21.510603386370946,21.246778167803388,21.473228454589844,173876000,0.0,0.0,21.130257034301756,0.36603432380954154,20.987790298461913,0.3385409172978256,20.859066486358643,0.33182654767728204
